recency,history,mens,womens,newbie,target,treatment,log_history,spending_intensity,is_unisex_buyer,digital_newbies,digital_veterans,urban_web_user,zip_code_Surburban,zip_code_Urban,channel_Phone,channel_Web
1,828.91,1,0,1,1,1,6.721317261176341,414.455,0,0,0,0,1,0,0,0
3,51.91,1,0,0,1,1,3.9685923569160404,12.9775,0,0,1,1,0,1,0,1
2,768.2,1,0,1,0,1,6.645351013714625,256.06666666666666,0,1,0,0,1,0,0,1
5,191.37,1,0,0,0,1,5.25942060091809,31.895,0,0,0,0,1,0,1,0
10,219.47,1,0,0,0,1,5.39576163120889,19.951818181818183,0,0,1,1,0,1,0,1
8,29.99,0,1,0,0,1,3.433664571799657,3.332222222222222,0,0,1,1,0,1,0,1
1,209.98,1,0,0,1,1,5.351763342253663,104.99,0,0,1,0,1,0,0,1
10,130.36,0,1,0,1,1,4.8779416457041185,11.850909090909092,0,0,0,0,1,0,1,0
6,275.53,1,1,1,1,1,5.622319314172629,39.36142857142857,1,0,0,0,0,1,1,0
10,223.88,1,0,0,0,1,5.415566926598276,20.35272727272727,0,0,1,0,1,0,0,1
1,271.89,1,0,0,0,1,5.609068783583762,135.945,0,0,0,0,0,1,1,0
11,371.02,1,0,0,0,1,5.918947616268805,30.918333333333333,0,0,1,0,1,0,0,1
3,414.15,1,0,0,0,1,6.02863990070804,103.5375,0,0,1,1,0,1,0,1
9,29.99,0,1,0,1,1,3.433664571799657,2.9989999999999997,0,0,1,1,0,1,0,1
9,344.89,1,0,1,0,1,5.846120805435597,34.489,0,0,0,0,1,0,1,0
7,141.74,1,0,0,0,1,4.961024793542921,17.7175,0,0,0,0,0,1,1,0
1,483.54,1,0,0,0,1,6.183199987262512,241.77,0,0,0,0,1,0,0,0
8,259.34,0,1,1,0,1,5.561988469038314,28.81555555555555,0,1,0,1,0,1,0,1
10,75.5,0,1,0,0,1,4.33729074083249,6.863636363636363,0,0,1,0,1,0,0,1
3,278.4,1,0,1,0,1,5.632644446822861,69.6,0,0,0,0,0,1,1,0
11,275.18,1,0,0,0,1,5.621052827057205,22.93166666666667,0,0,0,0,1,0,0,0
2,131.86,0,1,0,0,1,4.889295942237095,43.95333333333334,0,0,1,0,1,0,0,1
3,361.81,0,1,0,0,1,5.893879281256928,90.4525,0,0,0,0,1,0,1,0
2,617.06,1,0,1,0,1,6.426585540123657,205.68666666666664,0,0,0,0,0,0,1,0
2,29.99,1,0,0,0,1,3.433664571799657,9.996666666666666,0,0,1,0,1,0,0,1
2,919.77,1,1,1,1,1,6.8252102765120215,306.59,1,1,0,0,1,0,0,1
1,333.42,1,0,0,1,1,5.812397688034523,166.71,0,0,0,0,1,0,1,0
3,29.99,1,0,1,0,1,3.433664571799657,7.4975,0,1,0,0,1,0,0,1
1,397.46,1,1,0,0,1,5.987607116780677,198.73,1,0,1,1,0,1,0,1
5,792.07,1,0,1,1,1,6.675911490122425,132.01166666666668,0,0,0,0,0,1,0,0
2,121.94,0,1,0,0,1,4.811696431478864,40.64666666666667,0,0,1,0,0,0,0,1
5,120.0,1,0,1,0,1,4.795790545596741,20.0,0,0,0,0,0,0,1,0
4,174.66,1,0,0,0,1,5.168550308488971,34.932,0,0,1,0,1,0,0,1
1,768.85,0,1,1,0,1,6.646195690675928,384.425,0,0,0,0,0,1,0,0
2,57.64,0,1,1,0,1,4.071417057578396,19.213333333333335,0,0,0,0,0,1,1,0
6,170.49,0,1,0,0,1,5.1445249558680555,24.35571428571429,0,0,1,0,1,0,0,1
9,183.81,1,0,1,0,1,5.219328270297665,18.381,0,0,0,0,1,0,1,0
1,605.57,1,1,1,0,1,6.407820138047319,302.785,1,0,0,0,1,0,1,0
4,29.99,1,0,1,0,1,3.433664571799657,5.997999999999999,0,1,0,0,1,0,0,1
7,34.5,1,0,1,0,1,3.56953269648137,4.3125,0,0,0,0,1,0,1,0
3,29.99,0,1,1,0,1,3.433664571799657,7.4975,0,1,0,1,0,1,0,1
4,102.07,0,1,1,0,1,4.635408369048701,20.413999999999998,0,0,0,0,0,0,1,0
10,29.99,1,0,0,0,1,3.433664571799657,2.726363636363636,0,0,1,1,0,1,0,1
7,42.11,1,0,0,0,1,3.763754988759043,5.26375,0,0,1,1,0,1,0,1
9,150.39,0,1,0,0,1,5.019859288623787,15.038999999999998,0,0,0,0,1,0,1,0
2,62.35,1,0,0,0,1,4.148674906767148,20.783333333333335,0,0,0,0,1,0,1,0
3,46.55,0,1,0,0,1,3.8617817889913995,11.6375,0,0,1,1,0,1,0,1
4,164.19,1,0,0,0,1,5.107096326567049,32.838,0,0,0,0,0,0,1,0
1,41.38,0,1,1,0,1,3.746676552840153,20.69,0,0,0,0,1,0,1,0
9,143.0,0,1,0,0,1,4.969813299576001,14.3,0,0,0,0,1,0,1,0
4,328.59,0,1,0,1,1,5.79784945776923,65.71799999999999,0,0,0,0,1,0,0,0
10,111.66,0,1,0,0,1,4.724374433466568,10.15090909090909,0,0,1,0,1,0,0,1
8,176.03,0,1,1,0,1,5.176319209737187,19.558888888888887,0,1,0,0,1,0,0,1
12,197.3,0,1,0,0,1,5.28978103552575,15.176923076923078,0,0,1,0,1,0,0,1
10,188.23,1,0,1,0,1,5.242963206415959,17.11181818181818,0,1,0,1,0,1,0,1
2,611.0,1,1,1,0,1,6.416732282512326,203.66666666666666,1,0,0,0,1,0,1,0
8,92.93,1,0,0,1,1,4.542549824006424,10.325555555555557,0,0,1,0,1,0,0,1
3,32.47,1,0,0,0,1,3.510649515223235,8.1175,0,0,0,0,0,1,1,0
9,354.14,1,0,0,0,1,5.872512077930689,35.414,0,0,0,0,1,0,0,0
10,70.34,1,0,0,0,1,4.267457179930745,6.3945454545454545,0,0,1,0,0,0,0,1
5,289.65,1,0,0,0,1,5.67211979414736,48.275,0,0,0,0,1,0,0,0
10,400.87,1,0,0,0,1,5.996128653234859,36.442727272727275,0,0,0,0,0,1,1,0
1,29.99,1,0,0,0,1,3.433664571799657,14.995,0,0,1,0,1,0,0,1
9,58.0,1,0,1,0,1,4.07753744390572,5.8,0,1,0,1,0,1,0,1
3,1439.68,0,1,1,0,1,7.272870503330443,359.92,0,0,0,0,0,0,0,0
4,234.82,0,1,0,0,1,5.463068802148527,46.964,0,0,0,0,0,1,1,0
6,331.47,1,1,1,0,1,5.806549630461428,47.35285714285715,1,0,0,0,0,1,1,0
1,189.98,1,0,1,0,1,5.2521687105220565,94.99,0,1,0,1,0,1,0,1
3,190.38,1,0,0,0,1,5.254260980351117,47.595,0,0,1,1,0,1,0,1
12,29.99,0,1,0,0,1,3.433664571799657,2.3069230769230766,0,0,1,0,1,0,0,1
1,29.99,1,0,0,0,1,3.433664571799657,14.995,0,0,1,1,0,1,0,1
3,35.91,0,1,0,0,1,3.608482517041907,8.9775,0,0,0,0,1,0,1,0
2,47.09,0,1,0,0,1,3.873074255289571,15.696666666666667,0,0,0,0,0,1,1,0
2,881.42,1,1,1,0,1,6.782668133140278,293.8066666666667,1,0,0,0,0,1,0,0
3,559.93,1,1,1,0,1,6.329596120553775,139.9825,1,1,0,1,0,1,0,1
9,245.11,0,1,1,1,1,5.50577859046014,24.511000000000003,0,0,0,0,0,1,0,0
5,43.45,0,1,0,0,1,3.794364961959914,7.241666666666667,0,0,1,1,0,1,0,1
8,72.05,1,0,1,0,1,4.291144138196708,8.005555555555555,0,0,0,0,0,0,1,0
6,71.72,1,0,1,0,1,4.286616449869223,10.245714285714286,0,0,0,0,0,1,1,0
11,48.91,0,1,0,1,1,3.9102213834815176,4.075833333333333,0,0,1,1,0,1,0,1
2,29.99,1,0,0,0,1,3.433664571799657,9.996666666666666,0,0,0,0,0,1,1,0
1,533.87,1,0,1,1,1,6.2820237267147885,266.935,0,1,0,0,0,0,0,1
9,350.46,0,1,0,0,1,5.8620959067667,35.046,0,0,0,0,1,0,1,0
3,314.91,1,0,1,0,1,5.755457362894223,78.7275,0,0,0,0,0,0,1,0
1,98.69,0,1,0,0,1,4.602065371034612,49.345,0,0,0,0,1,0,1,0
1,569.76,1,0,1,0,1,6.346968806062375,284.88,0,0,0,0,1,0,0,0
7,97.94,0,1,1,0,1,4.594513605799563,12.2425,0,0,0,0,1,0,1,0
2,29.99,1,0,0,0,1,3.433664571799657,9.996666666666666,0,0,1,0,0,0,0,1
8,551.96,1,0,1,0,1,6.315285666175636,61.32888888888889,0,1,0,1,0,1,0,1
10,71.24,1,0,1,0,1,4.27999390910873,6.476363636363636,0,1,0,0,1,0,0,1
12,55.69,1,0,1,0,1,4.037597828336212,4.283846153846154,0,0,0,0,0,0,1,0
6,124.97,1,0,1,0,1,4.836043783364212,17.852857142857143,0,1,0,1,0,1,0,1
3,290.41,0,1,0,0,1,5.674731210262197,72.6025,0,0,0,0,0,1,1,0
8,613.08,0,1,1,0,1,6.420125212819335,68.12,0,0,0,0,0,1,1,0
7,1306.75,0,1,1,0,1,7.17606338225072,163.34375,0,1,0,0,1,0,0,1
9,148.85,0,1,0,0,1,5.009634793762673,14.885,0,0,1,0,0,0,0,1
2,134.48,0,1,1,0,1,4.908824027949571,44.82666666666666,0,0,0,0,1,0,1,0
1,475.2,0,1,0,1,1,6.165837934052762,237.6,0,0,0,0,0,0,1,0
2,469.4,0,1,0,0,1,6.153583396584417,156.46666666666667,0,0,1,1,0,1,0,1
10,198.31,0,1,1,0,1,5.2948614015746465,18.028181818181817,0,0,0,0,1,0,1,0
9,29.99,0,1,0,0,1,3.433664571799657,2.9989999999999997,0,0,1,0,1,0,0,1
1,292.82,0,1,0,1,1,5.682967334942281,146.41,0,0,1,0,0,0,0,1
10,29.99,0,1,1,0,1,3.433664571799657,2.726363636363636,0,1,0,1,0,1,0,1
9,278.87,1,0,0,0,1,5.63432520964098,27.887,0,0,1,0,1,0,0,1
1,592.66,1,0,1,0,1,6.3863067649122325,296.33,0,0,0,0,0,1,1,0
2,678.04,1,1,1,0,1,6.5206800359855634,226.01333333333332,1,0,0,0,0,1,1,0
2,144.69,1,0,1,0,1,4.981481076665904,48.23,0,1,0,0,1,0,0,1
12,101.85,1,0,1,0,1,4.633271616098966,7.834615384615384,0,1,0,0,1,0,0,1
4,110.6,0,1,0,0,1,4.71492104994721,22.119999999999997,0,0,1,0,0,0,0,1
3,654.21,1,1,1,1,1,6.484955794937651,163.5525,1,0,0,0,1,0,0,0
1,317.71,0,1,1,0,1,5.764281598402004,158.855,0,1,0,0,1,0,0,1
4,328.09,0,1,0,0,1,5.796331269586691,65.618,0,0,0,0,0,1,1,0
2,29.99,0,1,1,0,1,3.433664571799657,9.996666666666666,0,0,0,0,0,1,1,0
7,62.08,1,0,1,0,1,4.1444037620948375,7.76,0,0,0,0,0,1,1,0
10,29.99,1,0,1,0,1,3.433664571799657,2.726363636363636,0,1,0,1,0,1,0,1
8,272.89,1,0,0,0,1,5.612726565927474,30.321111111111108,0,0,1,1,0,1,0,1
11,51.33,0,1,1,0,1,3.9575698203841165,4.2775,0,0,0,0,1,0,1,0
1,287.67,1,1,0,1,1,5.665284167171766,143.835,1,0,1,0,1,0,0,1
2,412.28,0,1,0,1,1,6.02412532934753,137.42666666666665,0,0,0,0,0,1,1,0
11,50.92,0,1,0,0,1,3.9497040723958348,4.243333333333333,0,0,0,0,1,0,1,0
5,233.5,0,1,0,0,1,5.457455587886334,38.916666666666664,0,0,0,0,0,1,1,0
5,67.08,0,1,1,0,1,4.220683484265119,11.18,0,0,0,0,0,0,1,0
3,347.77,1,0,0,0,1,5.854412679161512,86.9425,0,0,1,1,0,1,0,1
12,107.15,1,0,0,1,1,4.683519152399068,8.242307692307692,0,0,1,0,1,0,0,1
9,124.83,1,0,1,0,1,4.834931789603877,12.483,0,0,0,0,0,0,1,0
7,340.51,0,1,1,0,1,5.833376961158986,42.56375,0,1,0,0,0,0,0,1
11,50.11,1,0,1,0,1,3.933980172780188,4.175833333333333,0,1,0,1,0,1,0,1
12,78.43,0,1,0,1,1,4.374876130645041,6.033076923076924,0,0,0,0,0,1,1,0
9,96.24,1,0,0,1,1,4.577182149447922,9.623999999999999,0,0,1,0,1,0,0,1
1,579.68,1,1,1,1,1,6.364199830593227,289.84,1,0,0,0,0,0,0,0
5,88.47,0,1,1,1,1,4.493903373559505,14.745,0,1,0,1,0,1,0,1
10,29.99,1,0,1,0,1,3.433664571799657,2.726363636363636,0,0,0,0,1,0,1,0
2,1491.11,1,1,1,0,1,7.307946504587593,497.03666666666663,1,0,0,0,0,1,1,0
10,254.49,1,0,0,1,1,5.543183269934562,23.135454545454547,0,0,0,0,0,0,1,0
1,279.74,0,1,0,1,1,5.63742897410618,139.87,0,0,1,1,0,1,0,1
11,120.02,1,0,1,0,1,4.795955821194175,10.001666666666667,0,0,0,0,1,0,1,0
1,903.62,0,1,1,0,1,6.807514966018882,451.81,0,1,0,1,0,1,0,1
3,358.98,0,1,0,0,1,5.886048474351333,89.745,0,0,0,0,0,1,1,0
2,438.9,1,0,0,0,1,6.086547428354674,146.29999999999998,0,0,0,0,0,1,0,0
2,29.99,0,1,0,0,1,3.433664571799657,9.996666666666666,0,0,0,0,0,1,1,0
8,29.99,0,1,0,0,1,3.433664571799657,3.332222222222222,0,0,0,0,1,0,1,0
10,87.12,1,0,0,0,1,4.478699521934143,7.920000000000001,0,0,1,1,0,1,0,1
1,106.98,1,0,1,0,1,4.6819460247901405,53.49,0,0,0,0,0,1,1,0
2,29.99,0,1,0,0,1,3.433664571799657,9.996666666666666,0,0,1,0,1,0,0,1
2,30.39,0,1,1,1,1,3.4464893708538624,10.13,0,1,0,0,0,0,0,1
3,86.68,1,0,1,0,1,4.473693823199706,21.67,0,1,0,0,1,0,0,1
11,43.72,0,1,1,0,1,3.8004208288468435,3.643333333333333,0,0,0,0,0,1,1,0
10,116.34,0,1,1,0,1,4.765075703497714,10.576363636363636,0,1,0,1,0,1,0,1
1,29.99,0,1,0,1,1,3.433664571799657,14.995,0,0,0,0,1,0,1,0
4,638.05,0,1,1,0,1,6.459982698577723,127.60999999999999,0,0,0,0,0,1,0,0
9,120.7,1,0,1,0,1,4.801558999993482,12.07,0,0,0,0,0,0,1,0
1,44.63,1,0,1,0,1,3.8205653949393112,22.315,0,1,0,1,0,1,0,1
4,411.97,1,0,0,0,1,6.0233749510974945,82.394,0,0,0,0,1,0,0,0
4,240.04,1,0,0,1,1,5.484962894822046,48.007999999999996,0,0,0,0,0,0,1,0
12,159.93,1,0,0,0,1,5.080969487830403,12.302307692307693,0,0,0,0,0,1,1,0
4,84.03,1,0,1,0,1,4.443004135397701,16.806,0,1,0,0,1,0,0,1
9,33.92,1,0,1,0,1,3.5530597309714014,3.3920000000000003,0,0,0,0,1,0,1,0
6,42.66,1,0,0,0,1,3.7764323511217976,6.094285714285713,0,0,1,0,1,0,0,1
10,42.32,1,0,1,0,1,3.76861442213279,3.847272727272727,0,0,0,0,1,0,1,0
2,29.99,1,0,1,0,1,3.433664571799657,9.996666666666666,0,0,0,0,0,0,1,0
12,120.45,1,0,0,0,1,4.799502655448181,9.265384615384615,0,0,1,0,1,0,0,1
2,776.64,1,1,1,0,1,6.656263692152439,258.88,1,0,0,0,1,0,0,0
10,115.28,0,1,0,0,1,4.756001075690675,10.48,0,0,1,0,1,0,0,1
4,464.8,0,1,0,1,1,6.143756357450241,92.96000000000001,0,0,0,0,1,0,0,0
5,652.74,1,1,1,0,1,6.48270971889503,108.79,1,1,0,0,0,0,0,1
7,140.79,1,0,0,0,1,4.954347089749467,17.59875,0,0,1,0,0,0,0,1
1,389.07,0,1,0,0,1,5.966326210197282,194.535,0,0,1,0,1,0,0,1
1,421.4,1,0,0,0,1,6.045952732392052,210.7,0,0,0,0,1,0,0,0
3,259.12,0,1,1,0,1,5.5611430630009515,64.78,0,0,0,0,0,0,1,0
10,240.78,1,0,1,0,1,5.488028221773845,21.88909090909091,0,0,0,0,1,0,0,0
2,29.99,1,0,1,1,1,3.433664571799657,9.996666666666666,0,0,0,0,0,1,1,0
10,105.28,0,1,1,0,1,4.666077120891613,9.57090909090909,0,0,0,0,1,0,1,0
7,129.44,1,0,0,0,1,4.870913350921119,16.18,0,0,0,0,1,0,1,0
7,769.0,1,1,1,0,1,6.646390514847729,96.125,1,0,0,0,0,1,0,0
1,98.21,1,0,1,0,1,4.597238815661811,49.105,0,0,0,0,0,1,1,0
7,182.28,0,1,0,0,1,5.2110150381452405,22.785,0,0,0,0,1,0,1,0
10,200.67,1,0,0,0,1,5.30663269815175,18.242727272727272,0,0,0,0,0,1,1,0
10,29.99,1,0,1,0,1,3.433664571799657,2.726363636363636,0,0,0,0,1,0,1,0
4,29.99,0,1,0,1,1,3.433664571799657,5.997999999999999,0,0,1,1,0,1,0,1
11,254.42,1,1,1,0,1,5.542909249068116,21.201666666666664,1,0,0,0,1,0,0,0
2,770.58,0,1,1,0,1,6.648440360529752,256.86,0,0,0,0,1,0,1,0
1,211.78,1,0,0,1,1,5.36025876808822,105.89,0,0,1,0,1,0,0,1
3,335.07,1,0,0,1,1,5.817319471598163,83.7675,0,0,0,0,1,0,1,0
9,195.54,1,0,0,0,1,5.280865972934281,19.554,0,0,0,0,0,1,1,0
8,448.77,0,1,0,0,1,6.108736340991447,49.86333333333333,0,0,0,0,1,0,1,0
2,583.13,1,0,1,0,1,6.37012356079564,194.37666666666667,0,1,0,0,1,0,0,1
4,174.66,1,0,0,0,1,5.168550308488971,34.932,0,0,0,0,1,0,1,0
3,84.69,1,0,0,1,1,4.450736132681027,21.1725,0,0,1,0,1,0,0,1
2,50.13,1,0,0,1,1,3.934371409091908,16.71,0,0,1,0,1,0,0,1
7,689.44,0,1,1,0,1,6.537329075518489,86.18,0,0,0,0,1,0,1,0
9,53.24,1,0,0,0,1,3.99341864363214,5.324,0,0,0,0,1,0,1,0
1,754.44,0,1,1,1,1,6.627300360954814,377.22,0,0,0,0,0,1,0,0
6,339.64,1,0,0,0,1,5.830826201145169,48.519999999999996,0,0,1,1,0,1,0,1
10,125.51,0,1,1,0,1,4.840321356426578,11.41,0,0,0,0,0,1,1,0
1,347.47,0,1,0,1,1,5.853552143281433,173.735,0,0,0,0,0,0,0,0
11,101.61,0,1,1,0,1,4.630935393874117,8.4675,0,0,0,0,0,0,1,0
5,257.57,1,0,0,0,1,5.555166450327418,42.928333333333335,0,0,1,0,1,0,0,1
10,45.39,0,1,0,0,1,3.8370839187636525,4.126363636363636,0,0,0,0,1,0,1,0
1,254.69,1,1,0,0,1,5.5439657732023155,127.345,1,0,0,0,0,1,0,0
10,48.31,0,1,1,0,1,3.8981269002360346,4.391818181818182,0,1,0,0,1,0,0,1
1,797.41,0,1,1,0,1,6.682622249968917,398.705,0,0,0,0,0,0,0,0
9,94.02,0,1,1,1,1,4.554087395758775,9.402,0,1,0,0,1,0,0,1
1,360.5,1,1,1,0,1,5.890262041598819,180.25,1,1,0,0,1,0,0,1
1,29.99,1,0,1,0,1,3.433664571799657,14.995,0,0,0,0,1,0,1,0
5,700.75,0,1,1,0,1,6.553577215241992,116.79166666666667,0,1,0,0,1,0,0,1
6,382.19,1,1,0,0,1,5.948530949722795,54.598571428571425,1,0,0,0,0,1,1,0
3,35.31,0,1,1,0,1,3.5920931854262443,8.8275,0,1,0,0,1,0,0,1
6,61.35,1,0,1,0,1,4.132763672126045,8.764285714285714,0,1,0,0,1,0,0,1
5,140.83,0,1,0,1,1,4.954629157306516,23.471666666666668,0,0,1,0,1,0,0,1
2,139.54,0,1,1,0,1,4.945492145764051,46.51333333333333,0,1,0,1,0,1,0,1
10,114.42,1,0,1,0,1,4.7485776492828204,10.401818181818182,0,0,0,0,0,0,1,0
2,1918.79,1,0,1,0,1,7.559971084039946,639.5966666666667,0,0,0,0,1,0,0,0
7,89.25,1,0,0,0,1,4.502583597212991,11.15625,0,0,0,0,0,1,1,0
9,202.99,1,0,0,0,1,5.318070973034873,20.299,0,0,0,0,0,0,0,0
1,104.98,1,0,0,0,1,4.663250397064616,52.49,0,0,0,0,0,1,1,0
8,29.99,0,1,0,0,1,3.433664571799657,3.332222222222222,0,0,1,0,1,0,0,1
1,652.81,1,1,1,0,1,6.482816789370448,326.405,1,0,0,0,0,1,0,0
4,42.13,0,1,1,0,1,3.764218810659752,8.426,0,0,0,0,1,0,1,0
2,871.53,0,1,1,1,1,6.771397037439622,290.51,0,0,0,0,0,0,0,0
2,1640.42,1,1,1,0,1,7.4033169998417385,546.8066666666667,1,0,0,0,0,0,0,0
4,75.55,1,0,1,0,1,4.337944122103693,15.11,0,0,0,0,0,1,1,0
5,29.99,1,0,1,0,1,3.433664571799657,4.998333333333333,0,1,0,0,1,0,0,1
1,47.97,0,1,0,0,1,3.891207865714226,23.985,0,0,0,0,0,1,1,0
4,130.6,0,1,1,0,1,4.879767018891217,26.119999999999997,0,1,0,1,0,1,0,1
8,169.64,0,1,0,0,1,5.139556074163095,18.848888888888887,0,0,1,1,0,1,0,1
2,250.19,1,0,0,0,1,5.5262096248844506,83.39666666666666,0,0,0,0,1,0,0,0
8,45.78,1,0,0,0,1,3.845455761156033,5.086666666666667,0,0,0,0,1,0,1,0
5,294.7,0,1,1,0,1,5.689345426858432,49.11666666666667,0,1,0,0,1,0,0,1
10,120.97,1,0,0,0,1,4.8037751128551465,10.997272727272728,0,0,1,0,1,0,0,1
10,191.41,0,1,0,0,1,5.259628511932925,17.400909090909092,0,0,1,0,1,0,0,1
3,220.39,1,0,0,0,1,5.399925852136134,55.0975,0,0,0,0,0,1,1,0
10,98.21,0,1,1,0,1,4.597238815661811,8.928181818181818,0,1,0,1,0,1,0,1
8,52.0,1,0,0,1,1,3.970291913552122,5.777777777777778,0,0,1,1,0,1,0,1
9,205.8,0,1,0,0,1,5.331752142634274,20.580000000000002,0,0,0,0,0,1,1,0
3,118.07,1,0,0,0,1,4.779711555463083,29.5175,0,0,0,0,0,1,1,0
2,88.33,1,0,0,0,1,4.492337377713747,29.44333333333333,0,0,0,0,0,1,1,0
12,181.9,1,0,0,0,1,5.20893955539682,13.992307692307692,0,0,0,0,1,0,1,0
2,47.2,1,0,0,0,1,3.8753590210565547,15.733333333333334,0,0,1,1,0,1,0,1
9,43.87,1,0,1,0,1,3.803769419987892,4.387,0,1,0,1,0,1,0,1
9,209.82,0,1,1,0,1,5.351004688827043,20.982,0,0,0,0,1,0,1,0
9,389.29,1,1,1,1,1,5.966890052541402,38.929,1,0,0,0,0,0,1,0
9,29.99,1,0,1,0,1,3.433664571799657,2.9989999999999997,0,0,0,0,0,1,1,0
7,106.54,0,1,0,0,1,4.6778628713815325,13.3175,0,0,1,0,1,0,0,1
10,45.88,1,0,1,0,1,3.8475911452687575,4.170909090909091,0,1,0,1,0,1,0,1
4,367.15,1,0,0,0,1,5.908490463814726,73.42999999999999,0,0,1,0,1,0,0,1
11,62.86,1,0,0,0,1,4.156693187286636,5.238333333333333,0,0,0,0,1,0,1,0
6,62.56,1,0,1,0,1,4.151984341668515,8.937142857142858,0,1,0,1,0,1,0,1
8,244.53,1,0,0,0,1,5.5034191393614815,27.17,0,0,1,1,0,1,0,1
2,199.49,0,1,1,0,1,5.3007643701910885,66.49666666666667,0,0,0,0,0,1,1,0
11,29.99,1,0,0,0,1,3.433664571799657,2.4991666666666665,0,0,0,0,0,0,1,0
2,454.04,1,0,0,0,1,6.120385327174821,151.34666666666666,0,0,1,0,1,0,0,1
1,145.75,0,1,0,0,1,4.988730458708206,72.875,0,0,0,0,0,1,1,0
3,134.49,0,1,1,0,1,4.90889783685834,33.6225,0,1,0,0,0,0,0,1
2,92.66,1,0,0,1,1,4.539671203755396,30.886666666666667,0,0,1,0,1,0,0,1
10,68.69,1,0,1,0,1,4.244056835450428,6.244545454545454,0,0,0,0,0,1,1,0
6,363.64,0,1,1,0,1,5.898910565497374,51.94857142857143,0,0,0,0,0,1,1,0
3,29.99,1,0,0,0,1,3.433664571799657,7.4975,0,0,1,1,0,1,0,1
4,840.16,0,1,1,0,1,6.7347818915805036,168.03199999999998,0,0,0,0,1,0,1,0
9,273.42,1,1,0,0,1,5.614659779493029,27.342000000000002,1,0,1,1,0,1,0,1
12,67.24,0,1,0,0,1,4.223030903183424,5.172307692307692,0,0,0,0,0,1,1,0
8,44.19,0,1,1,0,1,3.810875823423188,4.91,0,0,0,0,1,0,1,0
9,75.7,0,1,0,0,1,4.33990170837321,7.57,0,0,1,1,0,1,0,1
10,29.99,1,0,0,0,1,3.433664571799657,2.726363636363636,0,0,1,1,0,1,0,1
8,70.84,0,1,0,0,1,4.274441423993944,7.871111111111111,0,0,1,0,1,0,0,1
5,622.94,1,1,1,1,1,6.436054209900196,103.82333333333334,1,0,0,0,1,0,0,0
8,148.86,1,0,1,0,1,5.0097015249361645,16.540000000000003,0,0,0,0,1,0,1,0
7,183.88,1,0,1,0,1,5.219706965966125,22.985,0,1,0,0,1,0,0,1
1,164.64,1,0,0,0,1,5.109816758677367,82.32,0,0,1,1,0,1,0,1
1,236.16,0,1,1,0,1,5.468735018839167,118.08,0,0,0,0,0,1,1,0
8,232.9,1,1,1,0,1,5.454893673590133,25.87777777777778,1,0,0,0,1,0,0,0
1,119.52,1,0,1,0,1,4.791815714262101,59.76,0,0,0,0,0,1,1,0
12,64.78,0,1,1,0,1,4.186315840760911,4.983076923076923,0,1,0,0,1,0,0,1
2,271.81,1,0,1,0,1,5.608775582188955,90.60333333333334,0,1,0,0,1,0,0,1
9,400.52,0,1,0,1,1,5.995257345346678,40.052,0,0,0,0,1,0,0,0
4,271.79,0,1,0,0,1,5.608702268405931,54.358000000000004,0,0,0,0,1,0,1,0
9,150.64,1,0,1,0,1,5.021509290648134,15.063999999999998,0,1,0,1,0,1,0,1
